"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0603_1608Metric";1;"0.1u";;;
2;"C14";"C_0603_1608Metric";1;"2.2uF";;;
3;"U1";"CA56-12EWA";1;"CA56-12EWA";;;
4;"R6,R8,R7,R10,R9,R11,R5,R12";"R_0805_2012Metric";8;"100";;;
5;"C11,C12,C10,C4,C6,C5,C7";"C_0603_1608Metric";7;"0.1uF";;;
6;"F1";"Fuse_1812_4532Metric";1;"PTCSMD";;;
7;"R15,R14";"R_0603_1608Metric";2;"22";;;
8;"S1,S2";"PTS125_SMD_Button";2;"PTS125SM43SMTR21M_LFS";;;
9;"LS1";"Buzzer_12x9.5RM7.6";1;"Speaker";;;
10;"D1,D3,D2";"LED_0805_2012Metric";3;"LED";;;
11;"C13,C9";"C_0603_1608Metric";2;"1uF";;;
12;"R3,R4";"R_0805_2012Metric";2;"330";;;
13;"C2,C3";"C_0603_1608Metric";2;"22p";;;
14;"J1";"PinSocket_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
15;"R17,R13";"R_0603_1608Metric";2;"10k";;;
16;"J3";"PinSocket_2x04_P2.54mm_Vertical";1;"ESP_Conn";;;
17;"Y1";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"16MHz";;;
18;"R16";"R_0603_1608Metric";1;"1k";;;
19;"U3";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-A";;;
20;"U2";"TSSOP-16_4.4x5mm_P0.65mm";1;"74HC595";;;
21;"R1,R2";"R_0805_2012Metric";2;"10k";;;
22;"U5";"SOT-23-5";1;"LP2985-3.3";;;
23;"U4";"SOT-23-6";1;"USBLC6-2SC6";;;
24;"S3";"PTS526_SMD_Button";1;"PTS526_SM08_SMTR2_LFS";;;
25;"J2";"USB_Mini-B_Lumberg_2486_01_Horizontal";1;"USB_B_Mini";;;
26;"C15";"C_0603_1608Metric";1;"10nF";;;
27;"C8";"C_0805_2012Metric";1;"10uF";;;
